DATE,SFTPAGRM158SFRBSF
1985-09-01,0.018314523545921002
1985-10-01,0.0631228230225589
1985-11-01,0.05036418158670575
1985-12-01,-0.006582911690323878
1986-01-01,-0.04546573957915179
1986-02-01,-0.037324918903774984
1986-03-01,-0.01317079584184988
1986-04-01,-0.0027909084161000797
1986-05-01,-0.008522938494764265
1986-06-01,0.011106941626943367
1986-07-01,0.07482032850704501
1986-08-01,0.09454928929339279
1986-09-01,0.07542048179720662
1986-10-01,0.06173136555033509
1986-11-01,0.06383396793726037
1986-12-01,0.06348421774493618
1987-01-01,0.03621819074569799
1987-02-01,-0.004610329569893934
1987-03-01,-0.01780093476741995
1987-04-01,0.035039733708629006
1987-05-01,0.11789260256604961
1987-06-01,0.19092520088519094
1987-07-01,0.22361675707316664
1987-08-01,0.19950663435458083
1987-09-01,0.15508684948583928
